"main_id","ra","dec","rvz_redshift","radial_velocity","rv_norm","ang_dist"
"[IKO2018] HFF4P-3678-7409",177.403268,22.294703,7.4,2218464.1892,-1.25046897906474,1.7416637322208
"[IKO2018] HFF4P-3769-8456",177.40706,22.31268,7.5,2248443.435,-1.15295797622379,1.741754069649
"[LBL2018] MACS1149 parallel 111",177.4005975,22.3061028,7.922,2374955.852276,-0.741461544234958,1.741793736938
"[IKO2018] HFF4P-3612-8473",177.400509,22.313149,7.57,2269428.90706,-1.08470027423512,1.74185170539995
"[IKO2018] HFF4P-3593-8440",177.399737,22.312238,7.45,2233453.8121,-1.20171347764426,1.74185543599537
"[ZZI2017] 4385",177.40151,22.38434,7.7,2308401.9266,-0.957935970541877,1.74241012362146
"[LBL2018] MACS1149 cluster 61",177.4176958,22.4136828,8.285,2483780.51453,-0.387496603922293,1.74241436851159
"[IKO2018] HFF4C-4024-4492",177.41769,22.41369,9.6,2878007.5968,0.89477308343626,1.74241450947855
"[IKO2018] HFF4C-3617-3327",177.40073,22.39244,8.7,2608194.3846,0.0171740578676675,1.74248644872588
"[MAC2016] M1149cl   2316",177.407684,22.405251,7.93,2377354.19194,-0.733660664007682,1.74248990847156
"[ZZI2017] 4267",177.39453,22.38231,8.3,2488277.4014,-0.37286995349615,1.7424937641505
"sBoRG 1149+2202   169",177.1723,22.0172,7.66,2296410.22828,-0.996940371678259,1.74274479638825
"[MAC2016] M1149cl  22863",177.388184,22.403442,7.66,2296410.22828,-0.996940371678259,1.74275460866792
"[ZZI2017] 2811",177.38284,22.396,8,2398339.664,-0.665402962019013,1.7427712938213
"[IKO2018] HFF4C-3373-4483",177.39055,22.41341,9.1,2728111.3678,0.407218069231486,1.74280088819915
"[IKO2018] HFF4C-3358-4457",177.389933333333,22.4127166666667,9.1096,2730989.3753968,0.416579125504218,1.74280414326742
"[IKO2018] HFF4C-3191-4433",177.382991,22.41204,7.7,2308401.9266,-0.957935970541877,1.74289811802662
"sBoRG 1149+2202   343",177.1584,22.0221,8.38,2512260.79804,-0.294861151223385,1.74298381296355
"[BBZ2012] A1703-zD4",198.77995375,51.8398755555556,8.4,2518256.6472,-0.275358950655195,1.74741554664815
"[BBZ2012] A1703-zD7",198.75529,51.8350144444444,8.8,2638173.6304,0.114685060708624,1.747585728775
"CLASH RXJ2248-4431 1301",342.208379,44.5375171,7.7,2308401.9266,-0.957935970541877,1.75901576453833
"sBoRG 1142+2647  1280",175.4986,26.7807,12.16,3645476.28928,3.3910547561647,1.80391147555662
"sBoRG 1152+3402   693",177.9128,34.0445,7.66,2296410.22828,-0.996940371678259,1.82612407634532
"BoRG 1152+3402  912",177.907708333333,34.0396944444444,7.6,2278422.6808,-1.05544697338283,1.8261546737156
"sBoRG 1142+3020    67",175.6406,30.3028,9.79,2934968.16382,1.08004398883407,1.82855051492066
"BoRG 1459+7146  785",224.7238,71.7814,10,2997924.58,1.28481709480008,1.83014310537164
"[BBZ2014] J013148.72-133649.1",22.953,-13.6136388888889,8,2398339.664,-0.665402962019013,1.83962391147645
"[MMD2016] A209-9-1",22.97625,-13.6158638888889,8.4,2518256.6472,-0.275358950655195,1.83992127344824
"[BBZ2014] J013154.51-133600.5",22.977125,-13.6001388888889,8,2398339.664,-0.665402962019013,1.84009369980168
"CLASH Abell209  994",22.98725,-13.6113611111111,8,2398339.664,-0.665402962019013,1.84011861301821
"BoRG 1209+4543 1696",182.3859,45.725,8.6,2578215.1388,-0.080336944973286,1.85846552475017
"BoRG 1242+5716  159",190.5672023,57.2567197,8,2398339.664,-0.665402962019013,1.86735994936713
"[RER2016] SMACSJ0600-0427",90.038,-43.8955555555556,8,2398339.664,-0.665402962019013,1.867872748587
"sBoRG 0104+0021   339",15.8784,0.337,7.66,2296410.22828,-0.996940371678259,1.86944206927014
"[BIO2015] BORGY-0087621469",17.5365,-2.36302777777778,7.33,2197478.71714,-1.31872668105341,1.87009965142932
"BoRG 1131+3114 1244",172.8573532,31.2942314,8,2398339.664,-0.665402962019013,1.87369158366963
"sBoRG 1014-0423   166",153.5068,-4.3776,9.89,2964947.40962,1.17755499167503,1.87805132644344
"[CCF2023] J0305 PAR  827",46.4270833333333,-31.8726944444444,8.1,2428318.9098,-0.56789195917806,1.88910569164169
"sBoRG 1115+2548   455",168.662,25.8007,8.38,2512260.79804,-0.294861151223385,1.89368271785976
"GOODS J123803.63+621530.2",189.5151261,62.2583893,8.226,2466092.759508,-0.445028095598455,1.91445389516511
"HRG14 J123726.33+621221.5",189.359666666667,62.2060277777778,7.6082,2280880.9789556,-1.04745107114987,1.91520945927213
"[BIO2015] GNDY-7274212447",189.36425,62.2124166666667,7.49,2245445.51042,-1.16270907650788,1.91522300297983
"[BIO2015] GNDY-7258112518",189.357541666667,62.2143888888889,7.66,2296410.22828,-0.996940371678259,1.91528703284428
"[BIO2015] GNDY-7233812360",189.347416666667,62.21,8.38,2512260.79804,-0.294861151223385,1.91532914369211
"[BIO2015] GNDY-7193611417",189.330666666667,62.1949166666667,8.11,2431316.83438,-0.558140858893963,1.91534097215861
"[MMC2009c] 9306",189.390833333333,62.2589166666667,8.66,2596202.68628,-0.0218303432687127,1.91537173281684
"HRG14 J123729.14+621507.7",189.371375,62.2522222222222,7.34,2200476.64172,-1.30897558076931,1.91546531167611
"[SWM2014] GOODS-N 20976",189.360667,62.245567,7.4249,2225929.0214042,-1.22618873935734,1.91549484551639
"[BIO2015] GNDZ-7180812396",189.325333333333,62.211,7.58,2272426.83164,-1.07494917395102,1.91549928740064
"[BIO2015] GNDY-7180712397",189.325291666667,62.2110277777778,7.66,2296410.22828,-0.996940371678259,1.91549979997151
"[BIO2015] GNDJ-2273942274",189.34475,62.2395555555556,9.9,2967945.3342,1.18730609195912,1.91556752841209
"[BIO2015] GNDY-7247114549",189.352958333333,62.2485833333333,7.49,2245445.51042,-1.16270907650788,1.91557390896301
"HRG14 J123707.08+621047.1",189.2795,62.1798333333333,8.0356,2409012.2755048,-0.630689045007633,1.91560684547118
"HRG14 J123736.28+621909.2",189.401166666667,62.3193055555556,7.73,2317395.70034,-0.92868266968959,1.9157430641368
"MODS wide 11296",189.3627491,62.2866549,7.75,2323391.5495,-0.9091804691214,1.91578361590954
"[BIO2015] GNDY-7199315263",189.333041666667,62.2573055555556,7.5989,2278092.9090962,-1.05651959441408,1.91578501455092
"sBoRG 1048+1518    72",161.9772,15.2852,8.11,2431316.83438,-0.558140858893963,1.91580294649431
"[BIO2015] GNDY-7120113385",189.300041666667,62.2273611111111,8.02,2404335.51316,-0.645900761450823,1.91580662998718
