"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] M0416cl    432","64.029007","-24.086933","9.98749"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] M0416cl    877","64.03315","-24.079981","9.98749"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] M0416cl    396","64.0205","-24.086679","9.96635"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] M0416pf 23564","64.1297","-24.090591","9.96255"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 2919","150.121751","2.214011","9.961"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] NGP3.02","202.96153","23.74802","9.96"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 6374","150.197298","2.255259","9.958"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 28853","150.159984","2.552196","9.958"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 19240","150.084464","2.410387","9.948"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 19598","150.121684","2.414802","9.948"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 21689","150.085561","2.442772","9.947"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] M0416pf  1531","64.1577","-24.109905","9.9465"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744cl   1100","3.583623","-30.400833","9.9465"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] A2744pf   990","3.466335","-30.383411","9.9465"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] A2744pf  1414","3.467313","-30.375648","9.9465"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] M0416cl    190","64.0242","-24.090445","9.9465"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744cl     51","3.605434","-30.415836","9.9465"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] A2744cl  21962","3.567878","-30.394791","9.9415"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 2498","150.084447","2.20949","9.94"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] A2744pf 21200","3.490386","-30.386711","9.934"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 5651","150.122892","2.246338","9.934"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 16782","150.122857","2.380178","9.931"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[CFT2022] GHZ4","3.51374166666667","-30.3515527777778","9.93"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 17501","150.197326","2.38924","9.927"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744pf  2279","3.459567","-30.361393","9.92585"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 13735","150.083154","2.344394","9.923"
